Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
backblue.gif,.gif,0.004,backblue.gif,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
fade.gif,.gif,0.001,fade.gif,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
auto3d82.jpg,.jpg,0.475,cms.suzukihyperlocal.com\auto3d82.jpg,ASSET_REFERENCE,Generic/technical visual,Archive/reference; not core content,ARCHIVE/REFERENCE
bg-maina406.webp,.webp,0.119,cms.suzukihyperlocal.com\bg-maina406.webp,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
COLORINGa08e.jpg,.jpg,0.344,cms.suzukihyperlocal.com\COLORINGa08e.jpg,ASSET_REFERENCE,Generic/technical visual,Archive/reference; not core content,ARCHIVE/REFERENCE
Frame_31550ab58.webp,.webp,0.077,cms.suzukihyperlocal.com\Frame_31550ab58.webp,ASSET_REFERENCE,Generic/technical visual,Archive/reference; not core content,ARCHIVE/REFERENCE
website81d9.jpg,.jpg,0.414,cms.suzukihyperlocal.com\website81d9.jpg,ASSET_REFERENCE,Generic/technical visual,Archive/reference; not core content,ARCHIVE/REFERENCE
unnamed.jpg,.jpg,0.125,lh6.googleusercontent.com\unnamed.jpg,EXTERNAL_REFERENCE,External-source asset,Archive/reference; do not publish automatically,ARCHIVE/REFERENCE
54982-suzuki-baleno-giias-2022-suaradotcom-manuel-j-nainggolan.jpg,.jpg,0.049,media.suara.com\pictures\653x366\2022\08\12\54982-suzuki-baleno-giias-2022-suaradotcom-manuel-j-nainggolan.jpg,BALENO,Product asset,Product page + catalog if confirmed,ARCHIVE/REFERENCE
car-replace-tire-and-wheels-free.jpg,.jpg,0.057,nmaa.co.id\wp-content\uploads\2021\03\car-replace-tire-and-wheels-free.jpg,EXTERNAL_REFERENCE,External-source asset,Archive/reference; do not publish automatically,ARCHIVE/REFERENCE
freepik-wiper-mobil-ulti-2.jpg,.jpg,0.048,nmaa.co.id\wp-content\uploads\2021\06\freepik-wiper-mobil-ulti-2.jpg,EXTERNAL_REFERENCE,External-source asset,Archive/reference; do not publish automatically,ARCHIVE/REFERENCE
Frame 317426.webp,.webp,0.0,suzukitradajateng.co.id\assets\images\Frame 317426.webp,ASSET_REFERENCE,Generic/technical visual,Archive/reference; not core content,ARCHIVE/REFERENCE
Frame 317492.webp,.webp,0.12,suzukitradajateng.co.id\assets\images\Frame 317492.webp,ASSET_REFERENCE,Generic/technical visual,Archive/reference; not core content,ARCHIVE/REFERENCE
modal-bg.webp,.webp,0.019,suzukitradajateng.co.id\assets\images\modal-bg.webp,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
arrow-right.png,.png,0.0,suzukitradajateng.co.id\assets\img\arrow-right.png,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
bg_breadcrumb.png,.png,0.0,suzukitradajateng.co.id\assets\img\bg_breadcrumb.png,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
bg_page.png,.png,0.106,suzukitradajateng.co.id\assets\img\bg_page.png,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
bg_produk-pilihan.png,.png,0.004,suzukitradajateng.co.id\assets\img\bg_produk-pilihan.png,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
bg_stack-shadow_center.png,.png,0.002,suzukitradajateng.co.id\assets\img\bg_stack-shadow_center.png,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
bg_stack-shadow_left.png,.png,0.003,suzukitradajateng.co.id\assets\img\bg_stack-shadow_left.png,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
bg_stack-shadow_right.png,.png,0.003,suzukitradajateng.co.id\assets\img\bg_stack-shadow_right.png,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
line.png,.png,0.0,suzukitradajateng.co.id\assets\img\line.png,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
seat.svg,.svg,0.002,suzukitradajateng.co.id\assets\img\v2\product-page\seat.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
transmisi.svg,.svg,0.001,suzukitradajateng.co.id\assets\img\v2\product-page\transmisi.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
arrow-down.svg,.svg,0.0,suzukitradajateng.co.id\assets\img\v2\svg\arrow-down.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
arrow-right-outlet.svg,.svg,0.0,suzukitradajateng.co.id\assets\img\v2\svg\arrow-right-outlet.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
arrow-right.svg,.svg,0.001,suzukitradajateng.co.id\assets\img\v2\svg\arrow-right.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
date.svg,.svg,0.002,suzukitradajateng.co.id\assets\img\v2\svg\date.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
fb.svg,.svg,0.0,suzukitradajateng.co.id\assets\img\v2\svg\fb.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
ig.svg,.svg,0.005,suzukitradajateng.co.id\assets\img\v2\svg\ig.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
plus.svg,.svg,0.0,suzukitradajateng.co.id\assets\img\v2\svg\plus.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
right-bc.svg,.svg,0.0,suzukitradajateng.co.id\assets\img\v2\svg\right-bc.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
share.svg,.svg,0.001,suzukitradajateng.co.id\assets\img\v2\svg\share.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
telephone.svg,.svg,0.001,suzukitradajateng.co.id\assets\img\v2\svg\telephone.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
user.svg,.svg,0.002,suzukitradajateng.co.id\assets\img\v2\svg\user.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
wa.svg,.svg,0.001,suzukitradajateng.co.id\assets\img\v2\svg\wa.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
yt.svg,.svg,0.004,suzukitradajateng.co.id\assets\img\v2\svg\yt.svg,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
