Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
111a95.jpg,.jpg,0.029,cms.suzukihyperlocal.com\111a95.jpg,ARCHIVE_UNIDENTIFIED,Unnamed/hash/timestamp asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
16b719.jpg,.jpg,0.432,cms.suzukihyperlocal.com\16b719.jpg,ARCHIVE_UNIDENTIFIED,Unnamed/hash/timestamp asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
248db1.jpg,.jpg,0.338,cms.suzukihyperlocal.com\248db1.jpg,ARCHIVE_UNIDENTIFIED,Unnamed/hash/timestamp asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
336a99.jpg,.jpg,0.692,cms.suzukihyperlocal.com\336a99.jpg,ARCHIVE_UNIDENTIFIED,Unnamed/hash/timestamp asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
35d061.jpg,.jpg,0.618,cms.suzukihyperlocal.com\35d061.jpg,ARCHIVE_UNIDENTIFIED,Unnamed/hash/timestamp asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
a355f7254db665a9b35e1897d8c561104716.jpg,.jpg,0.057,cms.suzukihyperlocal.com\a355f7254db665a9b35e1897d8c561104716.jpg,ARCHIVE_UNIDENTIFIED,Unnamed/hash/timestamp asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
ANE-BARUd40c.jpg,.jpg,1.18,cms.suzukihyperlocal.com\ANE-BARUd40c.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
ANE_CRUISE_BLACK-CRUISEd36f.webp,.webp,0.052,cms.suzukihyperlocal.com\ANE_CRUISE_BLACK-CRUISEd36f.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
Asset_1_16934.webp,.webp,0.051,cms.suzukihyperlocal.com\Asset_1_16934.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
Asset_1_17633.webp,.webp,0.09,cms.suzukihyperlocal.com\Asset_1_17633.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
best80cf.jpg,.jpg,0.23,cms.suzukihyperlocal.com\best80cf.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
big_braket_kit_dealer_suzuki4ed3.png,.png,0.19,cms.suzukihyperlocal.com\big_braket_kit_dealer_suzuki4ed3.png,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
black-APV_ARENA4c67.webp,.webp,0.046,cms.suzukihyperlocal.com\black-APV_ARENA4c67.webp,LEGACY_PRODUCT_ARCHIVE,APV product asset,Archive only; not current primary lineup,ARCHIVE/UNPUBLISHED
dddddddddddddddddddddddddd3402.jpg,.jpg,0.517,cms.suzukihyperlocal.com\dddddddddddddddddddddddddd3402.jpg,ARCHIVE_UNIDENTIFIED,Unnamed/hash/timestamp asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
Eksterior01_(5)6a46.webp,.webp,0.027,cms.suzukihyperlocal.com\Eksterior01_(5)6a46.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
Eksterior02_(5)0cca.webp,.webp,0.034,cms.suzukihyperlocal.com\Eksterior02_(5)0cca.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
Eksterior03_(4)0c2f.webp,.webp,0.018,cms.suzukihyperlocal.com\Eksterior03_(4)0c2f.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
Eksterior03_(4)b028.webp,.webp,0.015,cms.suzukihyperlocal.com\Eksterior03_(4)b028.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
Eksterior04_(4)115f.webp,.webp,0.016,cms.suzukihyperlocal.com\Eksterior04_(4)115f.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
Eksterior04_(4)f240.webp,.webp,0.015,cms.suzukihyperlocal.com\Eksterior04_(4)f240.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
Eksterior05_(3)b653.webp,.webp,0.013,cms.suzukihyperlocal.com\Eksterior05_(3)b653.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
FD5kbSQVQAQ-S3Ef613.jpg,.jpg,0.078,cms.suzukihyperlocal.com\FD5kbSQVQAQ-S3Ef613.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
garasi-mobila1c5.jpg,.jpg,0.113,cms.suzukihyperlocal.com\garasi-mobila1c5.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
IGe026.jpg,.jpg,0.513,cms.suzukihyperlocal.com\IGe026.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
IGNIS1ab3.jpg,.jpg,0.113,cms.suzukihyperlocal.com\IGNIS1ab3.jpg,IGNIS_ARCHIVE,Archive only,Do not publish,ARCHIVE/UNPUBLISHED
IGNISS6149.jpg,.jpg,1.581,cms.suzukihyperlocal.com\IGNISS6149.jpg,IGNIS_ARCHIVE,Archive only,Do not publish,ARCHIVE/UNPUBLISHED
ignissssss355b.jpg,.jpg,0.869,cms.suzukihyperlocal.com\ignissssss355b.jpg,IGNIS_ARCHIVE,Archive only,Do not publish,ARCHIVE/UNPUBLISHED
IMG_20220727_212534_(1)5067.jpg,.jpg,1.12,cms.suzukihyperlocal.com\IMG_20220727_212534_(1)5067.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
interiiorr1b8eb.webp,.webp,0.026,cms.suzukihyperlocal.com\interiiorr1b8eb.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
interiot627d3.webp,.webp,0.022,cms.suzukihyperlocal.com\interiot627d3.webp,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
kabel_busi_mobil_dealer_suzuki6404.png,.png,0.244,cms.suzukihyperlocal.com\kabel_busi_mobil_dealer_suzuki6404.png,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
kartini-2c177.jpg,.jpg,0.46,cms.suzukihyperlocal.com\kartini-2c177.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
kilas-balik-suzuki-indonesia-2020-tetap-pacu-kinerja-meski-pandemi-melanda067f.jpg,.jpg,0.356,cms.suzukihyperlocal.com\kilas-balik-suzuki-indonesia-2020-tetap-pacu-kinerja-meski-pandemi-melanda067f.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
KOMITMEN8064.jpg,.jpg,0.568,cms.suzukihyperlocal.com\KOMITMEN8064.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
kontes-modifikasi-digital-suzuki-terus-berinovasi-berakhir-inilah-para-pemenangnya85dd.jpg,.jpg,0.287,cms.suzukihyperlocal.com\kontes-modifikasi-digital-suzuki-terus-berinovasi-berakhir-inilah-para-pemenangnya85dd.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
loker-1ed69.jpg,.jpg,0.483,cms.suzukihyperlocal.com\loker-1ed69.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
loker-20d07.jpg,.jpg,0.211,cms.suzukihyperlocal.com\loker-20d07.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
LOKER410f.jpg,.jpg,0.367,cms.suzukihyperlocal.com\LOKER410f.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
masker1b3dc.jpg,.jpg,0.14,cms.suzukihyperlocal.com\masker1b3dc.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
mechanic-hand-checking-fixing-broken-car-car-service-garage_146671-19718177b.jpg,.jpg,0.076,cms.suzukihyperlocal.com\mechanic-hand-checking-fixing-broken-car-car-service-garage_146671-19718177b.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
mekanik-Handalcf74.jpg,.jpg,0.256,cms.suzukihyperlocal.com\mekanik-Handalcf74.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
minyak_rem_dealer_suzuki081a.png,.png,0.252,cms.suzukihyperlocal.com\minyak_rem_dealer_suzuki081a.png,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
MOBILE50a2.jpg,.jpg,0.909,cms.suzukihyperlocal.com\MOBILE50a2.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
NKRI-22234.jpg,.jpg,0.197,cms.suzukihyperlocal.com\NKRI-22234.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
off-road-tire-on-car-extreme-sport-SBI-30109074287fc.jpg,.jpg,0.146,cms.suzukihyperlocal.com\off-road-tire-on-car-extreme-sport-SBI-30109074287fc.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
pajak_progresif_dealer_suzukiab47.jpg,.jpg,0.047,cms.suzukihyperlocal.com\pajak_progresif_dealer_suzukiab47.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
PAKET-SERVIS-ARUS-BALIK5569.jpg,.jpg,1.316,cms.suzukihyperlocal.com\PAKET-SERVIS-ARUS-BALIK5569.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
paket-servis6cff.jpg,.jpg,0.234,cms.suzukihyperlocal.com\paket-servis6cff.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
Pelanggan-482c0.jpg,.jpg,0.379,cms.suzukihyperlocal.com\Pelanggan-482c0.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
PPNBM-0-harga-naikb1ab.jpg,.jpg,0.328,cms.suzukihyperlocal.com\PPNBM-0-harga-naikb1ab.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
PPNBMaa6f.jpg,.jpg,0.306,cms.suzukihyperlocal.com\PPNBMaa6f.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
PU-50%ae13.jpg,.jpg,0.388,cms.suzukihyperlocal.com\PU-50%ae13.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
PU-Imlek0b0d.jpg,.jpg,0.261,cms.suzukihyperlocal.com\PU-Imlek0b0d.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
PU-USAHA9656.jpg,.jpg,1.271,cms.suzukihyperlocal.com\PU-USAHA9656.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
PU46bc.jpg,.jpg,0.248,cms.suzukihyperlocal.com\PU46bc.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
Rajanya-Pick-upc138.jpg,.jpg,0.075,cms.suzukihyperlocal.com\Rajanya-Pick-upc138.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
red-APV_ARENA9435.webp,.webp,0.048,cms.suzukihyperlocal.com\red-APV_ARENA9435.webp,LEGACY_PRODUCT_ARCHIVE,APV product asset,Archive only; not current primary lineup,ARCHIVE/UNPUBLISHED
semakind6c9.jpg,.jpg,0.416,cms.suzukihyperlocal.com\semakind6c9.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
servis-2c3b7.jpg,.jpg,0.168,cms.suzukihyperlocal.com\servis-2c3b7.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
silver-APV_ARENA9b6a.webp,.webp,0.05,cms.suzukihyperlocal.com\silver-APV_ARENA9b6a.webp,LEGACY_PRODUCT_ARCHIVE,APV product asset,Archive only; not current primary lineup,ARCHIVE/UNPUBLISHED
ssda68.jpg,.jpg,0.448,cms.suzukihyperlocal.com\ssda68.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
SST1121.jpg,.jpg,0.256,cms.suzukihyperlocal.com\SST1121.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
sufi-1fef4.jpg,.jpg,0.966,cms.suzukihyperlocal.com\sufi-1fef4.jpg,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
Sultan-Sayur1c9a.jpg,.jpg,1.05,cms.suzukihyperlocal.com\Sultan-Sayur1c9a.jpg,ARTICLE_OR_PROMO_ARCHIVE,Legacy article/promo asset,Archive; use only when content is intentionally republished,ARCHIVE/UNPUBLISHED
bg_hubungi-sales.png,.png,0.301,suzukitradajateng.co.id\assets\img\bg_hubungi-sales.png,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
parts.png,.png,0.22,suzukitradajateng.co.id\assets\img\parts.png,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
sales.png,.png,0.179,suzukitradajateng.co.id\assets\img\sales.png,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
servis.png,.png,0.199,suzukitradajateng.co.id\assets\img\servis.png,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
sujuki.png,.png,0.04,suzukitradajateng.co.id\assets\img\sujuki.png,ARCHIVE_UNIDENTIFIED,Unclear legacy asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
