Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
backblue.gif,.gif,0.004,backblue.gif,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
fade.gif,.gif,0.001,fade.gif,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content,ARCHIVE/REFERENCE
003_-_Front_View_45º_FIXED_LAYERS_(5)-JIMNY_5-DOORS2705.webp,.webp,0.068,cms.suzukihyperlocal.com\003_-_Front_View_45º_FIXED_LAYERS_(5)-JIMNY_5-DOORS2705.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
003_COLORIZE_BLUISH_BLACK_FIXED_LAYERS-JIMNY_5-DOORSf5d8.webp,.webp,0.069,cms.suzukihyperlocal.com\003_COLORIZE_BLUISH_BLACK_FIXED_LAYERS-JIMNY_5-DOORSf5d8.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
003_COLORIZE_GRANITE_GRAY_FIXED_LAYERS-JIMNY_5-DOORS804a.webp,.webp,0.071,cms.suzukihyperlocal.com\003_COLORIZE_GRANITE_GRAY_FIXED_LAYERS-JIMNY_5-DOORS804a.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
003_COLORIZE_JUNGLE_GREEN_FIXED_LAYERS-JIMNY_5-DOORS3e08.webp,.webp,0.071,cms.suzukihyperlocal.com\003_COLORIZE_JUNGLE_GREEN_FIXED_LAYERS-JIMNY_5-DOORS3e08.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
003_COLORIZE_KINETIC_YELLOW_FIXED_LAYERS-JIMNY_5-DOORS05cf.webp,.webp,0.076,cms.suzukihyperlocal.com\003_COLORIZE_KINETIC_YELLOW_FIXED_LAYERS-JIMNY_5-DOORS05cf.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
003_COLORIZE_METALLIC_CHIFFON_IVORY_FIXED_LAYERS-JIMNY_5-DOORS2120.webp,.webp,0.074,cms.suzukihyperlocal.com\003_COLORIZE_METALLIC_CHIFFON_IVORY_FIXED_LAYERS-JIMNY_5-DOORS2120.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [COOL BLACK]-GLd57e.png,.png,0.434,cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [COOL BLACK]-GLd57e.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [MAGMA GREY]-GLe73f.png,.png,0.477,cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [MAGMA GREY]-GLe73f.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [SNOW WHITE]-GLda52.png,.png,0.46,cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [SNOW WHITE]-GLda52.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [COOL BLACK] copy-GX8429.png,.png,0.438,cms.suzukihyperlocal.com\01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [COOL BLACK] copy-GX8429.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [MAGMA GREY] copy-GX7bb4.png,.png,0.48,cms.suzukihyperlocal.com\01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [MAGMA GREY] copy-GX7bb4.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [SAVANA IVORY] copy-GX349b.png,.png,0.479,cms.suzukihyperlocal.com\01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [SAVANA IVORY] copy-GX349b.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-GX3659.png,.png,0.463,cms.suzukihyperlocal.com\01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-GX3659.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [COOL BLACK] copy-SGX5bc7.png,.png,0.434,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [COOL BLACK] copy-SGX5bc7.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SAVANA IVORY] copy-SGX2792.png,.png,0.467,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SAVANA IVORY] copy-SGX2792.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-SGXc61c.png,.png,0.454,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-SGXc61c.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX SGX Exterior 45┬║ front side [ICE GRAYISH BLUE] copy-SGX5513.png,.png,0.462,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side [ICE GRAYISH BLUE] copy-SGX5513.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
11. Head-Up Displaye1cd.png,.png,0.788,cms.suzukihyperlocal.com\11. Head-Up Displaye1cd.png,FEATURE_SAFETY,Feature/safety,Relevant product page,FEATURES_SAFETY
111a95.jpg,.jpg,0.029,cms.suzukihyperlocal.com\111a95.jpg,ARCHIVE_UNIDENTIFIED,Unnamed/hash/timestamp asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
13. ELECTRONIC STABILITY PROGRAM (ESP®️)____b2ca.png,.png,0.33,cms.suzukihyperlocal.com\13. ELECTRONIC STABILITY PROGRAM (ESP®️)____b2ca.png,FEATURE_SAFETY,Feature/safety,Relevant product page,FEATURES_SAFETY
1583137774-Recoveredfe3e.jpg,.jpg,0.938,cms.suzukihyperlocal.com\1583137774-Recoveredfe3e.jpg,ARTICLE_MEDIA,Article image,Blog/SEO article,ARTICLES
16b719.jpg,.jpg,0.432,cms.suzukihyperlocal.com\16b719.jpg,ARCHIVE_UNIDENTIFIED,Unnamed/hash/timestamp asset,Archive until contextual source is confirmed,ARCHIVE/UNPUBLISHED
17137861602feb.webp,.webp,0.035,cms.suzukihyperlocal.com\17137861602feb.webp,ARTICLE_MEDIA,Article image,Blog/SEO article,ARTICLES
