Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
WhatsApp-Image-2022-06-23-at-14.15.266945.jpeg,.jpeg,0.275,cms.suzukihyperlocal.com\WhatsApp-Image-2022-06-23-at-14.15.266945.jpeg,CONTACT_UI,Contact asset,Contact/WhatsApp,BRAND_UI/ICONS
suzukilogo-pp-removebg-preview.png,.png,0.08,cms.suzukihyperlocal.com\images\defaults\suzukilogo-pp-removebg-preview.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
la-brands-400.svg,.svg,0.884,maxst.icons8.com\vue-static\landings\line-awesome\line-awesome\1.3.0\fonts\la-brands-400.svg,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
la-regular-400.svg,.svg,0.108,maxst.icons8.com\vue-static\landings\line-awesome\line-awesome\1.3.0\fonts\la-regular-400.svg,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
la-solid-900.svg,.svg,0.88,maxst.icons8.com\vue-static\landings\line-awesome\line-awesome\1.3.0\fonts\la-solid-900.svg,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
favicon.ico,.ico,0.001,suzukitradajateng.co.id\assets\img\favicon.ico,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
favicon_16_suzuki.png,.png,0.001,suzukitradajateng.co.id\assets\img\favicon_16_suzuki.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
favicon_180_suzuki.png,.png,0.014,suzukitradajateng.co.id\assets\img\favicon_180_suzuki.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
favicon_192_suzuki.png,.png,0.016,suzukitradajateng.co.id\assets\img\favicon_192_suzuki.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
favicon_32_suzuki.png,.png,0.002,suzukitradajateng.co.id\assets\img\favicon_32_suzuki.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
favicon_512_suzuki.png,.png,0.065,suzukitradajateng.co.id\assets\img\favicon_512_suzuki.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
floating_icon_c_calc.png,.png,0.0,suzukitradajateng.co.id\assets\img\floating_icon_c_calc.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
floating_icon_d_test-drive.png,.png,0.001,suzukitradajateng.co.id\assets\img\floating_icon_d_test-drive.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
floating_icon_e_booking-service.png,.png,0.001,suzukitradajateng.co.id\assets\img\floating_icon_e_booking-service.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
icon_otp.png,.png,0.005,suzukitradajateng.co.id\assets\img\icon_otp.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
icon_top-bar_down.png,.png,0.0,suzukitradajateng.co.id\assets\img\icon_top-bar_down.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
icon_top-bar_marker.png,.png,0.0,suzukitradajateng.co.id\assets\img\icon_top-bar_marker.png,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
putih_logo_splash.webp,.webp,0.003,suzukitradajateng.co.id\assets\img\putih_logo_splash.webp,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
toggler-icon.svg,.svg,0.0,suzukitradajateng.co.id\assets\img\toggler-icon.svg,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
hub-sales.jpg,.jpg,0.005,suzukitradajateng.co.id\assets\img\v2\icon\hub-sales.jpg,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
hub-sales.webp,.webp,0.001,suzukitradajateng.co.id\assets\img\v2\icon\hub-sales.webp,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
jadwal-service.jpg,.jpg,0.005,suzukitradajateng.co.id\assets\img\v2\icon\jadwal-service.jpg,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
jadwal-service.webp,.webp,0.001,suzukitradajateng.co.id\assets\img\v2\icon\jadwal-service.webp,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
pesan-part.jpg,.jpg,0.005,suzukitradajateng.co.id\assets\img\v2\icon\pesan-part.jpg,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
pesan-part.webp,.webp,0.001,suzukitradajateng.co.id\assets\img\v2\icon\pesan-part.webp,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
simulasi-kredit.jpg,.jpg,0.005,suzukitradajateng.co.id\assets\img\v2\icon\simulasi-kredit.jpg,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
simulasi-kredit.webp,.webp,0.001,suzukitradajateng.co.id\assets\img\v2\icon\simulasi-kredit.webp,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
logo.svg,.svg,0.23,suzukitradajateng.co.id\assets\img\v2\svg\logo.svg,BRAND_UI,Logo/icon,Header/footer/UI,BRAND_UI/ICONS
