Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
1744168060_bannera1fd.webp,.webp,0.251,cms.suzukihyperlocal.com\1744168060_bannera1fd.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
1744168115_bannerbf69.webp,.webp,0.212,cms.suzukihyperlocal.com\1744168115_bannerbf69.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
1744169444_banner6a80.webp,.webp,0.275,cms.suzukihyperlocal.com\1744169444_banner6a80.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
1744172397_bannerff0d.webp,.webp,0.137,cms.suzukihyperlocal.com\1744172397_bannerff0d.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
1752464513_banner5495.webp,.webp,0.167,cms.suzukihyperlocal.com\1752464513_banner5495.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
banner-29875.jpg,.jpg,0.327,cms.suzukihyperlocal.com\banner-29875.jpg,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
Desktop_Banner_39274.webp,.webp,0.096,cms.suzukihyperlocal.com\Desktop_Banner_39274.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
hero-new8d3e.webp,.webp,0.437,cms.suzukihyperlocal.com\hero-new8d3e.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
hero8e3d.webp,.webp,0.402,cms.suzukihyperlocal.com\hero8e3d.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo after visual review,HOME/PROMO
banner.webp,.webp,0.028,suzukitradajateng.co.id\assets\images\banner.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
hero-angle.png,.png,1.314,suzukitradajateng.co.id\assets\img\hero-angle.png,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
splash-mb.jpg,.jpg,0.157,suzukitradajateng.co.id\assets\img\splash-mb.jpg,PROMO_HERO_BANNER,Banner/hero,Homepage/promo after visual review,HOME/PROMO
about-new.webp,.webp,0.047,suzukitradajateng.co.id\assets\img\v2\banner\about-new.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
banner-new-mb.webp,.webp,0.03,suzukitradajateng.co.id\assets\img\v2\banner\banner-new-mb.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
banner-new.webp,.webp,0.087,suzukitradajateng.co.id\assets\img\v2\banner\banner-new.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
page-contact.webp,.webp,0.175,suzukitradajateng.co.id\assets\img\v2\banner\page-contact.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
page-news.webp,.webp,0.067,suzukitradajateng.co.id\assets\img\v2\banner\page-news.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
page-part.webp,.webp,0.114,suzukitradajateng.co.id\assets\img\v2\banner\page-part.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
page-service.webp,.webp,0.018,suzukitradajateng.co.id\assets\img\v2\banner\page-service.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
page-simulasi-kredit.webp,.webp,0.063,suzukitradajateng.co.id\assets\img\v2\banner\page-simulasi-kredit.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
privacy-banner.webp,.webp,0.084,suzukitradajateng.co.id\assets\img\v2\banner\privacy-banner.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
produk-new.webp,.webp,0.032,suzukitradajateng.co.id\assets\img\v2\banner\produk-new.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo,HOME/PROMO
