Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
1__Ertiga09209d63.jpg,.jpg,0.077,cms.suzukihyperlocal.com\1__Ertiga09209d63.jpg,ERTIGA_HYBRID,Product/color/interior,Product page + catalog,PRODUCTS/ERTIGA_HYBRID
Brave-Khaki-ALL_NEW_ERTIGA6e30.webp,.webp,0.054,cms.suzukihyperlocal.com\Brave-Khaki-ALL_NEW_ERTIGA6e30.webp,ERTIGA_HYBRID,Product/color/interior,Product page + catalog,PRODUCTS/ERTIGA_HYBRID
Cool-Black-Metalic-ALL_NEW_ERTIGAd0d0.webp,.webp,0.051,cms.suzukihyperlocal.com\Cool-Black-Metalic-ALL_NEW_ERTIGAd0d0.webp,ERTIGA_HYBRID,Product/color/interior,Product page + catalog,PRODUCTS/ERTIGA_HYBRID
Ertiga8d36.jpg,.jpg,0.153,cms.suzukihyperlocal.com\Ertiga8d36.jpg,ERTIGA_HYBRID,Product/color/interior,Product page + catalog,PRODUCTS/ERTIGA_HYBRID
Ertiga_(2)b248.webp,.webp,0.213,cms.suzukihyperlocal.com\Ertiga_(2)b248.webp,ERTIGA_HYBRID,Product/color/interior,Product page + catalog,PRODUCTS/ERTIGA_HYBRID
Mello-Deep-Red-ALL_NEW_ERTIGAd3d4.webp,.webp,0.055,cms.suzukihyperlocal.com\Mello-Deep-Red-ALL_NEW_ERTIGAd3d4.webp,ERTIGA_HYBRID,Product/color/interior,Product page + catalog,PRODUCTS/ERTIGA_HYBRID
Metalic-Magma-Gray-Primary-ALL_NEW_ERTIGAa908.webp,.webp,0.054,cms.suzukihyperlocal.com\Metalic-Magma-Gray-Primary-ALL_NEW_ERTIGAa908.webp,ERTIGA_HYBRID,Product/color/interior,Product page + catalog,PRODUCTS/ERTIGA_HYBRID
Pearl-Snow-White-ALL_NEW_ERTIGA34e4.webp,.webp,0.054,cms.suzukihyperlocal.com\Pearl-Snow-White-ALL_NEW_ERTIGA34e4.webp,ERTIGA_HYBRID,Product/color/interior,Product page + catalog,PRODUCTS/ERTIGA_HYBRID
Silky-Silver-ALL_NEW_ERTIGA26ac.webp,.webp,0.053,cms.suzukihyperlocal.com\Silky-Silver-ALL_NEW_ERTIGA26ac.webp,ERTIGA_HYBRID,Product/color/interior,Product page + catalog,PRODUCTS/ERTIGA_HYBRID
Suzuki-Ertiga-Hybrid-GX-Hero-[FLIP]-BRAVE-KHAKI-[FIX-LAYERS]_1-GX83ca.webp,.webp,0.053,cms.suzukihyperlocal.com\Suzuki-Ertiga-Hybrid-GX-Hero-[FLIP]-BRAVE-KHAKI-[FIX-LAYERS]_1-GX83ca.webp,ERTIGA_HYBRID,Product/color/interior,Product page + catalog,PRODUCTS/ERTIGA_HYBRID
