Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
Arctic White Pearl + Bluish Black Pearl.png,.png,0.326,suzukitradajateng.co.id\assets\images\e-vitara\Arctic White Pearl + Bluish Black Pearl.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Bluish Black Pearl.png,.png,0.298,suzukitradajateng.co.id\assets\images\e-vitara\Bluish Black Pearl.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Land Breeze Green Pearl Metallic + Bluish Black Pearl.png,.png,0.355,suzukitradajateng.co.id\assets\images\e-vitara\Land Breeze Green Pearl Metallic + Bluish Black Pearl.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
BANNER EXTERIOR.png,.png,1.13,suzukitradajateng.co.id\assets\images\e-vitara\banner-interior-exterior\BANNER EXTERIOR.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
BANNER INTERIOR.png,.png,1.43,suzukitradajateng.co.id\assets\images\e-vitara\banner-interior-exterior\BANNER INTERIOR.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Dynamic Design to Catch Your Eye.                        Made for Every Moment on the Road.png,.png,1.137,suzukitradajateng.co.id\assets\images\e-vitara\banners\Dynamic Design to Catch Your Eye.                        Made for Every Moment on the Road.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
e-vitara_dekstop.png,.png,0.909,suzukitradajateng.co.id\assets\images\e-vitara\banners\e-vitara_dekstop.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
INTEGRATED DISPLAY SYSTEM.png,.png,1.104,suzukitradajateng.co.id\assets\images\e-vitara\banners\INTEGRATED DISPLAY SYSTEM.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
PROGRESS IS THE ROAD WE’VE NEVER STOPPED TAKING.png,.png,1.01,suzukitradajateng.co.id\assets\images\e-vitara\banners\PROGRESS IS THE ROAD WE’VE NEVER STOPPED TAKING.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Alloy Wheel 18’.png,.png,0.78,suzukitradajateng.co.id\assets\images\e-vitara\exterior\EXTERIOR\Alloy Wheel 18’.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Front LED Matrix Lamps.png,.png,1.017,suzukitradajateng.co.id\assets\images\e-vitara\exterior\EXTERIOR\Front LED Matrix Lamps.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Futuristic Front Look.png,.png,0.773,suzukitradajateng.co.id\assets\images\e-vitara\exterior\EXTERIOR\Futuristic Front Look.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Rear LED Matrix Lamps.png,.png,1.0,suzukitradajateng.co.id\assets\images\e-vitara\exterior\EXTERIOR\Rear LED Matrix Lamps.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
6 Speakers with Inﬁnity Premium Sound System + Subwoofer.png,.png,1.62,suzukitradajateng.co.id\assets\images\e-vitara\interior\6 Speakers with Inﬁnity Premium Sound System + Subwoofer.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
alloy wheel garnish18’’ satin silver_.png,.png,0.555,suzukitradajateng.co.id\assets\images\e-vitara\interior\alloy wheel garnish18’’ satin silver_.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
ANTI PM2.5 AIR-CONDITIONER FILTER_.png,.png,1.074,suzukitradajateng.co.id\assets\images\e-vitara\interior\ANTI PM2.5 AIR-CONDITIONER FILTER_.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
BACK DOOR SCUFF PLATE_.png,.png,1.419,suzukitradajateng.co.id\assets\images\e-vitara\interior\BACK DOOR SCUFF PLATE_.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Custom Ambient Lighting.png,.png,0.694,suzukitradajateng.co.id\assets\images\e-vitara\interior\Custom Ambient Lighting.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
door handle pocket protector film_.png,.png,1.497,suzukitradajateng.co.id\assets\images\e-vitara\interior\door handle pocket protector film_.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Floating Centre Console.png,.png,0.667,suzukitradajateng.co.id\assets\images\e-vitara\interior\Floating Centre Console.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Front Center USB Port (Type A & C).png,.png,0.608,suzukitradajateng.co.id\assets\images\e-vitara\interior\Front Center USB Port (Type A & C).png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
LUGGAGE MAT TRAY_.png,.png,1.355,suzukitradajateng.co.id\assets\images\e-vitara\interior\LUGGAGE MAT TRAY_.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Luggage Space.png,.png,0.829,suzukitradajateng.co.id\assets\images\e-vitara\interior\Luggage Space.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
MULTI ROOF RACK_.png,.png,0.897,suzukitradajateng.co.id\assets\images\e-vitara\interior\MULTI ROOF RACK_.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Panoramic Glass Roof.png,.png,1.047,suzukitradajateng.co.id\assets\images\e-vitara\interior\Panoramic Glass Roof.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Rear Passenger USB Port (Type A & C).png,.png,0.712,suzukitradajateng.co.id\assets\images\e-vitara\interior\Rear Passenger USB Port (Type A & C).png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Side Sill Scuff_.png,.png,1.292,suzukitradajateng.co.id\assets\images\e-vitara\interior\Side Sill Scuff_.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
SIDE UNDER GARNISH_.png,.png,0.858,suzukitradajateng.co.id\assets\images\e-vitara\interior\SIDE UNDER GARNISH_.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Squircle Steering Wheel.png,.png,1.082,suzukitradajateng.co.id\assets\images\e-vitara\interior\Squircle Steering Wheel.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
ULTIMATE COMFORT.png,.png,0.444,suzukitradajateng.co.id\assets\images\e-vitara\interior\ULTIMATE COMFORT.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
"Utility, Reﬁned for Maximum Ease.png",.png,0.342,"suzukitradajateng.co.id\assets\images\e-vitara\interior\Utility, Reﬁned for Maximum Ease.png",E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Wheel Lock Nut Set_.png,.png,1.008,suzukitradajateng.co.id\assets\images\e-vitara\interior\Wheel Lock Nut Set_.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Wireless Charger.png,.png,0.586,suzukitradajateng.co.id\assets\images\e-vitara\interior\Wireless Charger.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Adaptive Cruise Control (ACC).png,.png,0.694,suzukitradajateng.co.id\assets\images\e-vitara\safety_support\SAFETY SUPPORT\Adaptive Cruise Control (ACC).png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Adaptive High Beam System (AHS).png,.png,0.285,suzukitradajateng.co.id\assets\images\e-vitara\safety_support\SAFETY SUPPORT\Adaptive High Beam System (AHS).png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Blind Spot Monitor (BSM).png,.png,0.434,suzukitradajateng.co.id\assets\images\e-vitara\safety_support\SAFETY SUPPORT\Blind Spot Monitor (BSM).png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Dual Sensor Brake Support II (DSBS II).png,.png,0.413,suzukitradajateng.co.id\assets\images\e-vitara\safety_support\SAFETY SUPPORT\Dual Sensor Brake Support II (DSBS II).png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Lane Departure Prevention (LDP).png,.png,0.331,suzukitradajateng.co.id\assets\images\e-vitara\safety_support\SAFETY SUPPORT\Lane Departure Prevention (LDP).png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Lane Keep Assist (LKA).png,.png,0.276,suzukitradajateng.co.id\assets\images\e-vitara\safety_support\SAFETY SUPPORT\Lane Keep Assist (LKA).png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Multiple Collision Braking.png,.png,0.341,suzukitradajateng.co.id\assets\images\e-vitara\safety_support\SAFETY SUPPORT\Multiple Collision Braking.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Rear Crossing Traﬃc Alert (RCTA).png,.png,0.323,suzukitradajateng.co.id\assets\images\e-vitara\safety_support\SAFETY SUPPORT\Rear Crossing Traﬃc Alert (RCTA).png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
SAFETY SUPPORT.png,.png,0.544,suzukitradajateng.co.id\assets\images\e-vitara\safety_support\SAFETY SUPPORT\SAFETY SUPPORT.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
Battery & Range.png,.png,1.574,suzukitradajateng.co.id\assets\images\e-vitara\slideshow\Battery & Range.png,E_VITARA,Future/verify lineup,Produk,PRODUCTS/E_VITARA
