Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [COOL BLACK]-GLd57e.png,.png,0.434,cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [COOL BLACK]-GLd57e.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [MAGMA GREY]-GLe73f.png,.png,0.477,cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [MAGMA GREY]-GLe73f.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [SNOW WHITE]-GLda52.png,.png,0.46,cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [SNOW WHITE]-GLda52.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [COOL BLACK] copy-GX8429.png,.png,0.438,cms.suzukihyperlocal.com\01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [COOL BLACK] copy-GX8429.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [MAGMA GREY] copy-GX7bb4.png,.png,0.48,cms.suzukihyperlocal.com\01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [MAGMA GREY] copy-GX7bb4.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [SAVANA IVORY] copy-GX349b.png,.png,0.479,cms.suzukihyperlocal.com\01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [SAVANA IVORY] copy-GX349b.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-GX3659.png,.png,0.463,cms.suzukihyperlocal.com\01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-GX3659.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [COOL BLACK] copy-SGX5bc7.png,.png,0.434,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [COOL BLACK] copy-SGX5bc7.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SAVANA IVORY] copy-SGX2792.png,.png,0.467,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SAVANA IVORY] copy-SGX2792.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-SGXc61c.png,.png,0.454,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-SGXc61c.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
01_Suzuki FRONX SGX Exterior 45┬║ front side [ICE GRAYISH BLUE] copy-SGX5513.png,.png,0.462,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side [ICE GRAYISH BLUE] copy-SGX5513.png,FRONX,Exterior/variant/color,Product page + homepage,PRODUCTS/FRONX
pearl-snow-white-SGX1d7b.png,.png,0.43,cms.suzukihyperlocal.com\pearl-snow-white-SGX1d7b.png,FRONX,Exterior/color/variant,Product page + catalog,PRODUCTS/FRONX
PEARL_SNOW_WHITE-CRUISEa509.webp,.webp,0.096,cms.suzukihyperlocal.com\PEARL_SNOW_WHITE-CRUISEa509.webp,FRONX,Exterior/color/variant,Product page + catalog,PRODUCTS/FRONX
savana-ivory-SGXee76.png,.png,0.452,cms.suzukihyperlocal.com\savana-ivory-SGXee76.png,FRONX,Exterior/color/variant,Product page + catalog,PRODUCTS/FRONX
Adaptive cruise control.png,.png,0.149,suzukitradajateng.co.id\assets\images\fronx-safety-support\Adaptive cruise control.png,FRONX,Product asset,Product page + homepage,PRODUCTS/FRONX
BSM.png,.png,0.134,suzukitradajateng.co.id\assets\images\fronx-safety-support\BSM.png,FRONX,Product asset,Product page + homepage,PRODUCTS/FRONX
DSBSII.png,.png,0.136,suzukitradajateng.co.id\assets\images\fronx-safety-support\DSBSII.png,FRONX,Product asset,Product page + homepage,PRODUCTS/FRONX
High Beam Assist.png,.png,0.073,suzukitradajateng.co.id\assets\images\fronx-safety-support\High Beam Assist.png,FRONX,Product asset,Product page + homepage,PRODUCTS/FRONX
HILL HOLD CONTROL.png,.png,0.548,suzukitradajateng.co.id\assets\images\fronx-safety-support\HILL HOLD CONTROL.png,FRONX,Product asset,Product page + homepage,PRODUCTS/FRONX
lane departure prevention.png,.png,0.083,suzukitradajateng.co.id\assets\images\fronx-safety-support\lane departure prevention.png,FRONX,Product asset,Product page + homepage,PRODUCTS/FRONX
lane departure warning.png,.png,0.051,suzukitradajateng.co.id\assets\images\fronx-safety-support\lane departure warning.png,FRONX,Product asset,Product page + homepage,PRODUCTS/FRONX
lane keep asisstant.png,.png,0.135,suzukitradajateng.co.id\assets\images\fronx-safety-support\lane keep asisstant.png,FRONX,Product asset,Product page + homepage,PRODUCTS/FRONX
PARKING SENSOR.png,.png,0.878,suzukitradajateng.co.id\assets\images\fronx-safety-support\PARKING SENSOR.png,FRONX,Product asset,Product page + homepage,PRODUCTS/FRONX
rear cross traffic alert.png,.png,0.137,suzukitradajateng.co.id\assets\images\fronx-safety-support\rear cross traffic alert.png,FRONX,Product asset,Product page + homepage,PRODUCTS/FRONX
vehicle swaying warning.png,.png,0.063,suzukitradajateng.co.id\assets\images\fronx-safety-support\vehicle swaying warning.png,FRONX,Product asset,Product page + homepage,PRODUCTS/FRONX
