Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
1.webp,.webp,0.009,suzukitradajateng.co.id\assets\images\exterior\grand-vitara\gx\1.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
2.webp,.webp,0.007,suzukitradajateng.co.id\assets\images\exterior\grand-vitara\gx\2.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
3.webp,.webp,0.005,suzukitradajateng.co.id\assets\images\exterior\grand-vitara\gx\3.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
4.webp,.webp,0.006,suzukitradajateng.co.id\assets\images\exterior\grand-vitara\gx\4.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
7.webp,.webp,0.004,suzukitradajateng.co.id\assets\images\exterior\grand-vitara\gx\7.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
8.webp,.webp,0.005,suzukitradajateng.co.id\assets\images\exterior\grand-vitara\gx\8.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
1.webp,.webp,0.009,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\1.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
10.webp,.webp,0.004,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\10.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
11.webp,.webp,0.007,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\11.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
12.webp,.webp,0.007,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\12.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
13.webp,.webp,0.007,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\13.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
14.webp,.webp,0.004,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\14.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
15.webp,.webp,0.007,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\15.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
16.webp,.webp,0.004,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\16.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
17 inch Dual - Tone Alloy Wheels.png,.png,0.174,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\17 inch Dual - Tone Alloy Wheels.png,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
17.webp,.webp,0.006,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\17.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
18.webp,.webp,0.004,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\18.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
19.webp,.webp,0.002,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\19.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
2.webp,.webp,0.012,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\2.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
20.webp,.webp,0.003,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\20.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
21.webp,.webp,0.022,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\21.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
22.webp,.webp,0.021,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\22.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
23.webp,.webp,0.009,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\23.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
24.webp,.webp,0.009,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\24.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
25.webp,.webp,0.009,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\25.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
26.webp,.webp,0.008,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\26.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
3.webp,.webp,0.007,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\3.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
4.webp,.webp,0.006,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\4.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
6.webp,.webp,0.014,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\6.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
7 inch Digital TFT Color Multi-Information Display.png,.png,0.232,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\7 inch Digital TFT Color Multi-Information Display.png,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
7.webp,.webp,0.009,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\7.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
8.webp,.webp,0.01,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\8.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
9.webp,.webp,0.004,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\9.webp,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
Apple CarPlay & Android Auto.png,.png,0.193,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\Apple CarPlay & Android Auto.png,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
Auto Climate AC.png,.png,0.303,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\Auto Climate AC.png,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
Cabin Lamp (LED).png,.png,0.3,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\Cabin Lamp (LED).png,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
Excellent Comfort.png,.png,0.355,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\Excellent Comfort.png,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
Panoramic Sunroof.png,.png,0.321,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\Panoramic Sunroof.png,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
Spot Map Lamp (LED).png,.png,0.354,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\Spot Map Lamp (LED).png,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
Ventilated Seats.png,.png,0.373,suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\Ventilated Seats.png,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
grand-vitara.png,.png,0.395,suzukitradajateng.co.id\assets\img\v2\grand-vitara.png,GRAND_VITARA,Product asset,Product page + catalog,PRODUCTS/GRAND_VITARA
