Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
003_-_Front_View_45º_FIXED_LAYERS_(5)-JIMNY_5-DOORS2705.webp,.webp,0.068,cms.suzukihyperlocal.com\003_-_Front_View_45º_FIXED_LAYERS_(5)-JIMNY_5-DOORS2705.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
003_COLORIZE_BLUISH_BLACK_FIXED_LAYERS-JIMNY_5-DOORSf5d8.webp,.webp,0.069,cms.suzukihyperlocal.com\003_COLORIZE_BLUISH_BLACK_FIXED_LAYERS-JIMNY_5-DOORSf5d8.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
003_COLORIZE_GRANITE_GRAY_FIXED_LAYERS-JIMNY_5-DOORS804a.webp,.webp,0.071,cms.suzukihyperlocal.com\003_COLORIZE_GRANITE_GRAY_FIXED_LAYERS-JIMNY_5-DOORS804a.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
003_COLORIZE_JUNGLE_GREEN_FIXED_LAYERS-JIMNY_5-DOORS3e08.webp,.webp,0.071,cms.suzukihyperlocal.com\003_COLORIZE_JUNGLE_GREEN_FIXED_LAYERS-JIMNY_5-DOORS3e08.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
003_COLORIZE_KINETIC_YELLOW_FIXED_LAYERS-JIMNY_5-DOORS05cf.webp,.webp,0.076,cms.suzukihyperlocal.com\003_COLORIZE_KINETIC_YELLOW_FIXED_LAYERS-JIMNY_5-DOORS05cf.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
003_COLORIZE_METALLIC_CHIFFON_IVORY_FIXED_LAYERS-JIMNY_5-DOORS2120.webp,.webp,0.074,cms.suzukihyperlocal.com\003_COLORIZE_METALLIC_CHIFFON_IVORY_FIXED_LAYERS-JIMNY_5-DOORS2120.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Bluish_Black_Pearl-JIMNY_3-DOORS1136.webp,.webp,0.033,cms.suzukihyperlocal.com\Bluish_Black_Pearl-JIMNY_3-DOORS1136.webp,JIMNY,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
brisk_blue_metallic-JIMNY_3-DOORS12ce.webp,.webp,0.037,cms.suzukihyperlocal.com\brisk_blue_metallic-JIMNY_3-DOORS12ce.webp,JIMNY,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
chiffon_ivory_metallic-JIMNY_3-DOORS2ed7.webp,.webp,0.035,cms.suzukihyperlocal.com\chiffon_ivory_metallic-JIMNY_3-DOORS2ed7.webp,JIMNY,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Eksterior01-JIMNY_5-DOORS9ff4.webp,.webp,0.009,cms.suzukihyperlocal.com\Eksterior01-JIMNY_5-DOORS9ff4.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
