Name,Extension,Size_MB,Size_Bytes,RelativePath,FullPath,WebsiteCategory,Subcategory,PlannedUse
backblue.gif,.gif,0.004,4243,backblue.gif,D:\Papah\suzukisemarangcenter\TRADA_RAW\backblue.gif,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content
fade.gif,.gif,0.001,828,fade.gif,D:\Papah\suzukisemarangcenter\TRADA_RAW\fade.gif,UI_TECHNICAL,UI/technical asset,Archive/reference; not core website content
003_-_Front_View_45º_FIXED_LAYERS_(5)-JIMNY_5-DOORS2705.webp,.webp,0.068,70922,cms.suzukihyperlocal.com\003_-_Front_View_45º_FIXED_LAYERS_(5)-JIMNY_5-DOORS2705.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_-_Front_View_45º_FIXED_LAYERS_(5)-JIMNY_5-DOORS2705.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog
003_COLORIZE_BLUISH_BLACK_FIXED_LAYERS-JIMNY_5-DOORSf5d8.webp,.webp,0.069,72034,cms.suzukihyperlocal.com\003_COLORIZE_BLUISH_BLACK_FIXED_LAYERS-JIMNY_5-DOORSf5d8.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_COLORIZE_BLUISH_BLACK_FIXED_LAYERS-JIMNY_5-DOORSf5d8.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog
003_COLORIZE_GRANITE_GRAY_FIXED_LAYERS-JIMNY_5-DOORS804a.webp,.webp,0.071,74410,cms.suzukihyperlocal.com\003_COLORIZE_GRANITE_GRAY_FIXED_LAYERS-JIMNY_5-DOORS804a.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_COLORIZE_GRANITE_GRAY_FIXED_LAYERS-JIMNY_5-DOORS804a.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog
003_COLORIZE_JUNGLE_GREEN_FIXED_LAYERS-JIMNY_5-DOORS3e08.webp,.webp,0.071,74776,cms.suzukihyperlocal.com\003_COLORIZE_JUNGLE_GREEN_FIXED_LAYERS-JIMNY_5-DOORS3e08.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_COLORIZE_JUNGLE_GREEN_FIXED_LAYERS-JIMNY_5-DOORS3e08.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog
003_COLORIZE_KINETIC_YELLOW_FIXED_LAYERS-JIMNY_5-DOORS05cf.webp,.webp,0.076,79750,cms.suzukihyperlocal.com\003_COLORIZE_KINETIC_YELLOW_FIXED_LAYERS-JIMNY_5-DOORS05cf.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_COLORIZE_KINETIC_YELLOW_FIXED_LAYERS-JIMNY_5-DOORS05cf.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog
003_COLORIZE_METALLIC_CHIFFON_IVORY_FIXED_LAYERS-JIMNY_5-DOORS2120.webp,.webp,0.074,77978,cms.suzukihyperlocal.com\003_COLORIZE_METALLIC_CHIFFON_IVORY_FIXED_LAYERS-JIMNY_5-DOORS2120.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_COLORIZE_METALLIC_CHIFFON_IVORY_FIXED_LAYERS-JIMNY_5-DOORS2120.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog
01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [COOL BLACK]-GLd57e.png,.png,0.434,455544,cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [COOL BLACK]-GLd57e.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [COOL BLACK]-GLd57e.png,FRONX,Exterior/variant/color,Product page + homepage
01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [MAGMA GREY]-GLe73f.png,.png,0.477,499761,cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [MAGMA GREY]-GLe73f.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [MAGMA GREY]-GLe73f.png,FRONX,Exterior/variant/color,Product page + homepage
