"Status","Name","Source","Destination","Reason"
"ARCHIVE_SKIP","backblue.gif","D:\Papah\suzukisemarangcenter\TRADA_RAW\backblue.gif","","Archive/reference"
"ARCHIVE_SKIP","fade.gif","D:\Papah\suzukisemarangcenter\TRADA_RAW\fade.gif","","Archive/reference"
"COPIED","003_-_Front_View_45º_FIXED_LAYERS_(5)-JIMNY_5-DOORS2705.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_-_Front_View_45º_FIXED_LAYERS_(5)-JIMNY_5-DOORS2705.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\JIMNY\003_-_Front_View_45º_FIXED_LAYERS_(5)-JIMNY_5-DOORS2705.webp",""
"COPIED","003_COLORIZE_BLUISH_BLACK_FIXED_LAYERS-JIMNY_5-DOORSf5d8.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_COLORIZE_BLUISH_BLACK_FIXED_LAYERS-JIMNY_5-DOORSf5d8.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\JIMNY\003_COLORIZE_BLUISH_BLACK_FIXED_LAYERS-JIMNY_5-DOORSf5d8.webp",""
"COPIED","003_COLORIZE_GRANITE_GRAY_FIXED_LAYERS-JIMNY_5-DOORS804a.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_COLORIZE_GRANITE_GRAY_FIXED_LAYERS-JIMNY_5-DOORS804a.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\JIMNY\003_COLORIZE_GRANITE_GRAY_FIXED_LAYERS-JIMNY_5-DOORS804a.webp",""
"COPIED","003_COLORIZE_JUNGLE_GREEN_FIXED_LAYERS-JIMNY_5-DOORS3e08.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_COLORIZE_JUNGLE_GREEN_FIXED_LAYERS-JIMNY_5-DOORS3e08.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\JIMNY\003_COLORIZE_JUNGLE_GREEN_FIXED_LAYERS-JIMNY_5-DOORS3e08.webp",""
"COPIED","003_COLORIZE_KINETIC_YELLOW_FIXED_LAYERS-JIMNY_5-DOORS05cf.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_COLORIZE_KINETIC_YELLOW_FIXED_LAYERS-JIMNY_5-DOORS05cf.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\JIMNY\003_COLORIZE_KINETIC_YELLOW_FIXED_LAYERS-JIMNY_5-DOORS05cf.webp",""
"COPIED","003_COLORIZE_METALLIC_CHIFFON_IVORY_FIXED_LAYERS-JIMNY_5-DOORS2120.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\003_COLORIZE_METALLIC_CHIFFON_IVORY_FIXED_LAYERS-JIMNY_5-DOORS2120.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\JIMNY\003_COLORIZE_METALLIC_CHIFFON_IVORY_FIXED_LAYERS-JIMNY_5-DOORS2120.webp",""
"COPIED","01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [COOL BLACK]-GLd57e.png","D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [COOL BLACK]-GLd57e.png","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\FRONX\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [COOL BLACK]-GLd57e.png",""
"COPIED","01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [MAGMA GREY]-GLe73f.png","D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [MAGMA GREY]-GLe73f.png","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\FRONX\01_Suzuki FRONX GL Exterior 45┬║ front side - FLIP [MAGMA GREY]-GLe73f.png",""
