"Status","Name","Source","Destination","Reason"
"COPIED","exterior-15e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\exterior\ss\exterior-15e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\EXTERIOR\exterior-15e1f_REPAIR.webp",""
"COPIED","exterior-25e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\exterior\ss\exterior-25e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\EXTERIOR\exterior-25e1f_REPAIR.webp",""
"COPIED","exterior-35e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\exterior\ss\exterior-35e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\EXTERIOR\exterior-35e1f_REPAIR.webp",""
"COPIED","exterior-45e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\exterior\ss\exterior-45e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\EXTERIOR\exterior-45e1f_REPAIR.webp",""
"COPIED","exterior-55e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\exterior\ss\exterior-55e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\EXTERIOR\exterior-55e1f_REPAIR.webp",""
"COPIED","exterior-65e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\exterior\ss\exterior-65e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\EXTERIOR\exterior-65e1f_REPAIR.webp",""
"COPIED","exterior-75e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\exterior\ss\exterior-75e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\EXTERIOR\exterior-75e1f_REPAIR.webp",""
"COPIED","exterior-85e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\exterior\ss\exterior-85e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\EXTERIOR\exterior-85e1f_REPAIR.webp",""
"COPIED","1.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\1.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\GRAND_VITARA\1_REPAIR.webp",""
"COPIED","2.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\2.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\GRAND_VITARA\2_REPAIR.webp",""
"COPIED","3.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\3.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\GRAND_VITARA\3_REPAIR.webp",""
"COPIED","4.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\4.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\GRAND_VITARA\4_REPAIR.webp",""
"COPIED","7.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\7.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\GRAND_VITARA\7_REPAIR.webp",""
"COPIED","8.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\grand-vitara\gx\8.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\PRODUCTS\GRAND_VITARA\8_REPAIR.webp",""
"COPIED","interior-15e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\ss\interior-15e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\INTERIOR\interior-15e1f_REPAIR.webp",""
"COPIED","interior-25e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\ss\interior-25e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\INTERIOR\interior-25e1f_REPAIR.webp",""
"COPIED","interior-35e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\ss\interior-35e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\INTERIOR\interior-35e1f_REPAIR.webp",""
"COPIED","interior-45e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\ss\interior-45e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\INTERIOR\interior-45e1f_REPAIR.webp",""
"COPIED","interior-65e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\ss\interior-65e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\INTERIOR\interior-65e1f_REPAIR.webp",""
"COPIED","interior-75e1f.webp","D:\Papah\suzukisemarangcenter\TRADA_RAW\suzukitradajateng.co.id\assets\images\interior\ss\interior-75e1f.webp","D:\Papah\suzukisemarangcenter\SUZUKI_CENTER_ASSETS_FINAL\COMMON\INTERIOR\interior-75e1f_REPAIR.webp",""
